Name,Gender,"Rating Value","Rating Count","Main Accords",Perfumers,Description,url
"Colonia Classica Acqua di Genovafor women and men","for women and men",4.48,44,"['citrus', 'white floral', 'aromatic', 'fresh spicy', 'woody', 'powdery', 'floral', 'rose', 'amber', 'musky']","['Stefano Frecceri']","Colonia ClassicabyAcqua di Genovais a Citrus Aromatic fragrance for women and men.Colonia Classicawas launched in 1853. The nose behind this fragrance is Stefano Frecceri. Top notes are Bergamot, Neroli, Amalfi Lemon, Rosemary, Lavender and Orange; middle notes are Jasmine, Rose and Orange Blossom; base notes are Amber, Musk, Patchouli and Sandalwood.",https://www.fragrantica.com/perfume/Acqua-di-Genova/Colonia-Classica-5251.html
"Enkor Carrement Bellefor women and men","for women and men",3.38,13,"['aromatic', 'marine', 'woody', 'green', 'lavender', 'aquatic', 'citrus', 'salty', 'floral', 'herbal']","['Frank Jammes']","EnkorbyCarrement Belleis a Citrus fragrance for women and men. The nose behind this fragrance is Frank Jammes.",https://www.fragrantica.com/perfume/Carrement-Belle/Enkor-33585.html
"XX Art Nouveau Papyrus Clive Christianfor men","for men",4.01,94,"['woody', 'citrus', 'lavender', 'fresh spicy', 'aromatic', 'leather', 'green']",[],"XX Art Nouveau PapyrusbyClive Christianis a Woody Aromatic fragrance for men.XX Art Nouveau Papyruswas launched in 2018. Top note is Bergamot; middle note is Lavender; base note is Papyrus.",https://www.fragrantica.com/perfume/Clive-Christian/XX-Art-Nouveau-Papyrus-50929.html
"Cuba Trouble Cuba Parisfor women","for women",3.55,11,"['white floral', 'warm spicy', 'tuberose', 'cacao', 'coffee', 'almond', 'sweet', 'vanilla', 'nutty', 'fruity']",[],"Cuba TroublebyCuba Parisis a Floral fragrance for women.Cuba Troublewas launched in 2021. Top notes are Almond and Coffee; middle notes are Jasmine and Tuberose; base notes are Tonka Bean and Cacao.",https://www.fragrantica.com/perfume/Cuba-Paris/Cuba-Trouble-71754.html
"Secret Idyll Pimkiefor women","for women",,,"['floral', 'fruity', 'sweet']",[],"Secret IdyllbyPimkieis a Floral Fruity fragrance for women.Secret Idyllwas launched in 2010.",https://www.fragrantica.com/perfume/Pimkie/Secret-Idyll-19697.html
"Caribbean Vanilla Lime Perlierfor women and men","for women and men",4.56,9,"['citrus', 'vanilla', 'sweet', 'conifer', 'powdery']",[],"Caribbean Vanilla LimebyPerlieris a Citrus Gourmand fragrance for women and men.",https://www.fragrantica.com/perfume/Perlier/Caribbean-Vanilla-Lime-27992.html
"Black Russian Demeter Fragrancefor women and men","for women and men",3.95,108,"['coffee', 'vodka', 'sweet', 'warm spicy', 'vanilla']",[],"Black RussianbyDemeter Fragranceis a Aromatic fragrance for women and men.",https://www.fragrantica.com/perfume/Demeter-Fragrance/Black-Russian-7714.html
"Oudain Lattafa Perfumesfor men","for men",3.84,243,"['woody', 'warm spicy', 'vanilla', 'aromatic', 'fresh spicy', 'powdery', 'sweet', 'amber', 'cinnamon']",[],"OudainbyLattafa Perfumesis a fragrance for men. Top notes are Cardamom, Mint and Bergamot; middle notes are Woody Notes, Spicy Notes, Cumin, Cinnamon, Lavender and Orange Blossom; base notes are Tonka Bean, Vanilla, Sandalwood, Cedar and Ambergris.",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Oudain-78381.html
"Eat Freshfor women","for women",4,4,"['sweet', 'caramel', 'fresh spicy', 'aromatic', 'lactonic', 'fruity', 'vanilla', 'green', 'fresh', 'herbal']","['Lev Glazman']","EatbyFreshis a Floral Fruity Gourmand fragrance for women.Eatwas launched in 2010. The nose behind this fragrance is Lev Glazman. Top notes are Basil, Amalfi Lemon and Bergamot; middle notes are Red Currant, plum and Rose; base notes are Custard, Caramel and Vanille.",https://www.fragrantica.com/perfume/Fresh/Eat-14463.html
"Cherry Fantasy Alan Brayfor women","for women",3.86,7,"['cherry', 'white floral', 'sweet', 'citrus', 'amber', 'musky', 'fruity', 'animalic', 'powdery', 'nutty']",[],"Cherry FantasybyAlan Brayis a fragrance for women.",https://www.fragrantica.com/perfume/Alan-Bray/Cherry-Fantasy-38659.html
"L’Heure D’Or Sultan Pasha Attarsfor women and men","for women and men",4.56,34,"['amber', 'white floral', 'woody', 'warm spicy', 'animalic', 'musky', 'powdery', 'aromatic', 'citrus', 'leather']","['Sultan Pasha']","L’Heure D’OrbySultan Pasha Attarsis a Woody Floral Musk fragrance for women and men.L’Heure D’Orwas launched in 2018. The nose behind this fragrance is Sultan Pasha. Top notes are Spices, Honeysuckle, Calabrian bergamot, Clary Sage, Absinthe, Jasmine and Lemon; middle notes are Tobacco, Orange Blossom, Lily-of-the-Valley, Bulgarian Rose, Sandalwood, Jasmine and Orris; base notes are Styrax, Castoreum, Tobacco, Cedar, Civet, Olibanum, Siam Benzoin, Amber, Sandalwood, Ambergris, Musk and Saffron.",https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/L-Heure-D-Or-53103.html
"Moon Extractfor men","for men",4,4,"['woody', 'citrus', 'green', 'fruity', 'fresh', 'fresh spicy', 'aromatic', 'amber', 'aquatic', 'conifer']",[],"MoonbyExtractis a fragrance for men. This is a new fragrance.Moonwas launched in 2022. Top notes are Lime, Mint and Melon; middle notes are Green Apple, White Cedar Extract and Coffee; base notes are Woodsy Notes and Amber.",https://www.fragrantica.com/perfume/Extract/Moon-84622.html
"Apparition Limited Edition Emanuel Ungarofor women","for women",2.8,5,"['vanilla', 'sweet', 'fruity', 'amber', 'powdery', 'floral', 'warm spicy', 'rose']",[],"Apparition Limited EditionbyEmanuel Ungarois a Floral Fruity fragrance for women.Apparition Limited Editionwas launched during the 2010's. Top notes are Raspberry and Paprika; middle notes are Passion Flower and Rose; base notes are Tonka Bean, Vanilla, Heliotrope, Amber and Patchouli.",https://www.fragrantica.com/perfume/Emanuel-Ungaro/Apparition-Limited-Edition-45138.html
"Infinite Emperor Bluefor women","for women",5,1,"['floral', 'citrus', 'white floral', 'rose', 'musky', 'powdery', 'fruity', 'fresh spicy', 'sweet', 'aromatic']",[],"InfinitebyEmperor Blueis a fragrance for women. This is a new fragrance.Infinitewas launched in 2024. Top notes are Bergamot, Mirabelle and Lemon; middle notes are Jasmine, Freesia, Rose and Peach; base notes are Musk, Sandalwood, Amber and Patchouli.",https://www.fragrantica.com/perfume/Emperor-Blue/Infinite-89138.html
"Closer No.1 Laurelle Londonfor women","for women",1.75,4,[],[],"Closer No.1byLaurelle Londonis a fragrance for women.",https://www.fragrantica.com/perfume/Laurelle-London/Closer-No-1-37258.html
"Flora Magnífica Granadofor women and men","for women and men",4.01,75,"['floral', 'green', 'citrus', 'white floral', 'rose', 'powdery', 'musky', 'woody', 'sweet', 'fruity']",[],"Flora MagníficabyGranadois a Floral Woody Musk fragrance for women and men. This is a new fragrance.Flora Magníficawas launched in 2024. Top notes are Green Leaves, Bergamot and Nectarine; middle notes are Magnolia, Jasmine and Rose; base notes are Musk, Coconut Blossom and Sandalwood.",https://www.fragrantica.com/perfume/Granado/Flora-Magnifica-90346.html
"White Max Philipfor men","for men",3,19,"['musky', 'powdery', 'green', 'woody', 'citrus', 'aromatic']",[],"WhitebyMax Philipis a Aromatic Green fragrance for men.Whitewas launched in 2019. Top notes are Bergamot and Mandarin Orange; middle notes are Green Tea and Black Currant; base notes are Musk, Sandalwood, Galbanum and Petitgrain.",https://www.fragrantica.com/perfume/Max-Philip/White-66451.html
"Johri Ava Luxefor women and men","for women and men",4.5,8,"['woody', 'vanilla', 'citrus', 'sweet', 'powdery', 'aromatic', 'fresh spicy', 'coconut', 'warm spicy', 'fruity']","['Serena Ava Franco']","JohribyAva Luxeis a Woody fragrance for women and men. The nose behind this fragrance is Serena Ava Franco. Top notes are Sicilian Lemon, Sicilian Bergamot and Pepper; middle notes are Fig, Coconut Milk and Galbanum; base notes are Vanilla, Sandalwood, Tonka Bean, Musk and Virginia Cedar.",https://www.fragrantica.com/perfume/Ava-Luxe/Johri-25282.html
"Jean Paul Gaultier Summer Jean Paul Gaultierfor women","for women",4.25,61,[],[],"Jean Paul Gaultier SummerbyJean Paul Gaultieris a Amber Floral fragrance for women.Jean Paul Gaultier Summerwas launched in 1997.",https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Jean-Paul-Gaultier-Summer-2848.html
"Delox Tiziana Terenzifor women and men","for women and men",4.07,926,"['rose', 'honey', 'vanilla', 'sweet', 'floral', 'powdery', 'amber', 'coffee', 'musky', 'warm spicy']","['Paolo Terenzi']","DeloxbyTiziana Terenziis a Floral Woody Musk fragrance for women and men.Deloxwas launched in 2017. The nose behind this fragrance is Paolo Terenzi. Top notes are Coffee, White Hyacinth and Iris; middle notes are Turkish Rose, Vanilla and Opoponax; base notes are Honey, White Musk, Amber and Cedar.",https://www.fragrantica.com/perfume/Tiziana-Terenzi/Delox-44357.html
"Saiph Attar Tiziana Terenzifor women and men","for women and men",4.05,20,"['vanilla', 'woody', 'sweet', 'tropical', 'green', 'powdery', 'floral', 'fruity', 'ozonic', 'fresh']","['Paolo Terenzi']","Saiph AttarbyTiziana Terenziis a Amber fragrance for women and men.Saiph Attarwas launched in 2016. The nose behind this fragrance is Paolo Terenzi. Top notes are Ozonic notes, Rose, Bergamot and Lemon; middle notes are Passionfruit, Green Notes, Floral Notes, Cedar and Orris; base notes are Vanilla, Musk, Amber, Patchouli and Vetiver.",https://www.fragrantica.com/perfume/Tiziana-Terenzi/Saiph-Attar-38156.html
"Boss Bastard Aaron Terence Hughesfor men","for men",3.96,73,"['woody', 'tobacco', 'amber', 'cacao', 'powdery', 'sweet', 'citrus', 'warm spicy', 'musky', 'aromatic']",[],"Boss BastardbyAaron Terence Hughesis a fragrance for men.Boss Bastardwas launched in 2020. Top notes are Mandarin Orange, Bergamot and Lemon; middle notes are Tobacco, Amber and Cedar; base notes are Cacao Pod, Musk, Sandalwood and Vetiver.",https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Boss-Bastard-83701.html
"Phantom Parfum Paco Rabannefor men","for men",3.81,"1,018","['aromatic', 'vanilla', 'warm spicy', 'citrus', 'lavender', 'powdery', 'fresh spicy', 'woody', 'sweet', 'green']",[],"Phantom ParfumbyPaco Rabanneis a Aromatic fragrance for men. This is a new fragrance.Phantom Parfumwas launched in 2023. Phantom Parfum was created by Juliette Karagueuzoglou, Dominique Ropion and Anne Flipo. Top notes are Cardamom, Bergamot, Rhubarb and Lemon; middle notes are Lavender, Patchouli, Cedarwood and Geranium; base notes are Vanilla, Tolu Balsam and Haitian Vetiver.",https://www.fragrantica.com/perfume/Paco-Rabanne/Phantom-Parfum-81927.html
"Longboard SunSet Corine de Farmefor men","for men",,,"['woody', 'fresh spicy', 'aromatic', 'aquatic', 'powdery', 'fresh', 'earthy', 'fruity', 'citrus', 'mossy']",[],"Longboard SunSetbyCorine de Farmeis a Aromatic Aquatic fragrance for men. Top notes are Mandarin Orange, Red Apple and Melon; middle notes are Geranium, Violet, Pepper and Water Notes; base notes are Vetyver, Musk, oak moss and Virginia Cedar.",https://www.fragrantica.com/perfume/Corine-de-Farme/Longboard-SunSet-8363.html
"New York City Santi Burgasfor women and men","for women and men",4.29,35,"['citrus', 'white floral', 'floral', 'aromatic', 'fresh spicy', 'warm spicy']","['Rodrigo Flores-Roux']","New York CitybySanti Burgasis a Citrus Aromatic fragrance for women and men.New York Citywas launched in 2018. The nose behind this fragrance is Rodrigo Flores-Roux.",https://www.fragrantica.com/perfume/Santi-Burgas/New-York-City-51498.html
"Muwood Murakaz Adyanfor women","for women",5,2,"['sweet', 'white floral', 'fruity', 'musky', 'patchouli', 'yellow floral', 'woody', 'tuberose', 'amber', 'soft spicy']",[],"Muwood MurakazbyAdyanis a Floral Fruity fragrance for women. This is a new fragrance.Muwood Murakazwas launched in 2022. Top notes are Fruity Notes, Pear and Pink Pepper; middle notes are Tuberose, Ylang Ylang and Jasmine; base notes are Amber, Patchouli and Musk.",https://www.fragrantica.com/perfume/Adyan/Muwood-Murakaz-85025.html
"Become the Shaman DSH Perfumesfor women and men","for women and men",4.31,51,"['woody', 'citrus', 'amber', 'aromatic', 'warm spicy']","['Dawn Spencer Hurwitz']","Become the ShamanbyDSH Perfumesis a Woody Aromatic fragrance for women and men.Become the Shamanwas launched in 2017. The nose behind this fragrance is Dawn Spencer Hurwitz.",https://www.fragrantica.com/perfume/DSH-Perfumes/Become-the-Shaman-44402.html
"Cocktail AMD Perfumesfor men","for men",,,"['sweet', 'vanilla', 'woody', 'warm spicy', 'amber', 'powdery', 'lactonic', 'cinnamon']",[],"CocktailbyAMD Perfumesis a Woody Spicy fragrance for men. This is a new fragrance.Cocktailwas launched in 2024. Top note is Cognac; middle notes are Tonka Bean, Cinnamon and Oak; base notes are Vanilla, Praline and Sandalwood.",https://www.fragrantica.com/perfume/AMD-Perfumes/Cocktail-91393.html
"Arábica Fueguia 1833for women and men","for women and men",3.81,32,"['coffee', 'warm spicy', 'aromatic', 'woody', 'tobacco', 'earthy', 'sweet']","['Julian Bedel']","ArábicabyFueguia 1833is a Woody Aromatic fragrance for women and men. This is a new fragrance.Arábicawas launched in 2022. The nose behind this fragrance is Julian Bedel. Top note is Roasted Coffee Beans; middle note is Tobacco; base note is Vetiver.",https://www.fragrantica.com/perfume/Fueguia-1833/Arabica-78291.html
"Poseidon’s Bleu de Cologne The Dua Brandfor men","for men",,,"['amber', 'woody', 'citrus', 'musky', 'warm spicy', 'fruity', 'balsamic', 'sweet', 'aromatic', 'fresh spicy']",[],"Poseidon’s Bleu de ColognebyThe Dua Brandis a Woody Aromatic fragrance for men.Poseidon’s Bleu de Colognewas launched in 2021.",https://www.fragrantica.com/perfume/The-Dua-Brand/Poseidon-s-Bleu-de-Cologne-85585.html
"Tresor In Love Lancômefor women","for women",3.83,"5,855","['fruity', 'powdery', 'sweet', 'rose', 'fresh', 'violet', 'musky', 'floral', 'white floral', 'woody']","['Dominique Ropion', 'Véronique Nyberg']","Tresor In LovebyLancômeis a Floral Fruity fragrance for women.Tresor In Lovewas launched in 2010. Tresor In Love was created by Dominique Ropion and Veronique Nyberg. Top notes are Nectarine, Pear, Pink Pepper and Bergamot; middle notes are Taif Rose, Peach, Violet and Jasmine; base notes are Musk and Virginia Cedar.",https://www.fragrantica.com/perfume/Lancome/Tresor-In-Love-8019.html
"Les Exclusifs de Chanel No 18 Chanelfor women","for women",3.84,844,"['floral', 'musky', 'iris', 'woody', 'fruity', 'powdery', 'violet', 'sweet', 'earthy']","['Jacques Polge']","Les Exclusifs de Chanel No 18byChanelis a Floral Fruity fragrance for women.Les Exclusifs de Chanel No 18was launched in 1997. The nose behind this fragrance is Jacques Polge.",https://www.fragrantica.com/perfume/Chanel/Les-Exclusifs-de-Chanel-No-18-7147.html
"Obsessão por Baunilha Eudorafor women","for women",4.57,102,"['vanilla', 'sweet', 'chocolate', 'powdery', 'warm spicy', 'floral']",[],"Obsessão por BaunilhabyEudorais a fragrance for women.Obsessão por Baunilhawas launched in 2018.",https://www.fragrantica.com/perfume/Eudora/Obsessao-por-Baunilha-56331.html
"Camellia Soliflor Acqua di Stresafor women","for women",3.77,22,"['floral', 'warm spicy', 'fresh', 'woody', 'green', 'citrus', 'powdery']",[],"Camellia SoliflorbyAcqua di Stresais a Floral fragrance for women. Top notes are Grass and Citruses; middle notes are Floral Notes and Camellia; base notes are Spicy Notes and Woody Notes.",https://www.fragrantica.com/perfume/Acqua-di-Stresa/Camellia-Soliflor-28902.html
"Sultane L'Eau Fatale Jeanne Arthesfor women","for women",3.86,176,"['woody', 'warm spicy', 'amber', 'cinnamon', 'yellow floral', 'powdery', 'white floral', 'fresh spicy', 'sweet', 'balsamic']",[],"Sultane L'Eau FatalebyJeanne Arthesis a Amber Woody fragrance for women.Sultane L'Eau Fatalewas launched in 2016. Top notes are Cinnamon and Cumin; middle notes are Ylang-Ylang and Jasmine; base notes are Sandalwood, Benzoin and Cedar.",https://www.fragrantica.com/perfume/Jeanne-Arthes/Sultane-L-Eau-Fatale-32555.html
"Ombre Orientale Jean Charles Brosseaufor women and men","for women and men",3.85,75,"['warm spicy', 'oud', 'woody', 'soft spicy', 'patchouli', 'amber', 'metallic', 'leather', 'earthy', 'tobacco']","['Thomas Fontaine']","Ombre OrientalebyJean Charles Brosseauis a Woody Chypre fragrance for women and men.Ombre Orientalewas launched in 2013. The nose behind this fragrance is Thomas Fontaine. Top note is Saffron; middle note is Pink Pepper; base notes are Agarwood (Oud), Patchouli, Amber and Sandalwood.",https://www.fragrantica.com/perfume/Jean-Charles-Brosseau/Ombre-Orientale-19052.html
"Lotus Flower Lothantiquefor women and men","for women and men",4,1,"['citrus', 'violet', 'powdery', 'green', 'fresh', 'fresh spicy', 'floral', 'aromatic', 'ozonic']",[],"Lotus FlowerbyLothantiqueis a Aromatic fragrance for women and men.",https://www.fragrantica.com/perfume/Lothantique/Lotus-Flower-34841.html
"Celtic Triquetra Trend Perfumesfor women and men","for women and men",,,"['woody', 'powdery', 'earthy', 'musky', 'rose', 'patchouli', 'oud', 'amber', 'leather', 'warm spicy']",[],"Celtic TriquetrabyTrend Perfumesis a Amber Floral fragrance for women and men. This is a new fragrance.Celtic Triquetrawas launched in 2023. Top notes are Rose, Cypriol Oil or Nagarmotha and Guaiac Wood; middle notes are Agarwood (Oud), Leather and Patchouli; base notes are Musk, Amber and Sandalwood.",https://www.fragrantica.com/perfume/Trend-Perfumes/Celtic-Triquetra-79748.html
"Skin Couture Armaffor women","for women",3.77,22,"['musky', 'woody', 'powdery', 'yellow floral', 'citrus', 'sweet', 'aromatic']",[],"Skin CouturebyArmafis a Floral Fruity fragrance for women. Top notes are Bergamot, Cassis, Lemon and Raspberry; middle notes are Ylang-Ylang, Violet Leaf and Lily-of-the-Valley; base notes are Musk and White Woods.",https://www.fragrantica.com/perfume/Armaf/Skin-Couture-27673.html
"Diavolo As de Corazon Antonio Banderasfor men","for men",4.14,7,"['warm spicy', 'citrus', 'cinnamon', 'fresh spicy', 'woody', 'patchouli', 'aromatic', 'powdery', 'musky']",[],"Diavolo As de CorazonbyAntonio Banderasis a Woody Spicy fragrance for men.Diavolo As de Corazonwas launched in 2009. Top notes are Mandarin Orange, Bergamot and Citruses; middle notes are Cinnamon, Geranium and Pepper; base notes are Patchouli, Musk and Sandalwood.",https://www.fragrantica.com/perfume/Antonio-Banderas/Diavolo-As-de-Corazon-13916.html
"Accord 119 Caronfor women","for women",4.1,208,"['fruity', 'green', 'aromatic', 'powdery', 'amber', 'vanilla', 'patchouli', 'woody', 'soft spicy', 'musky']","['Richard Fraysse']","Accord 119byCaronis a Chypre Fruity fragrance for women.Accord 119was launched in 2011. The nose behind this fragrance is Richard Fraysse.",https://www.fragrantica.com/perfume/Caron/Accord-119-11787.html
"Prime Joyful LELASfor men","for men",3.25,4,"['fruity', 'woody', 'earthy', 'sweet', 'citrus', 'rose', 'mossy', 'white floral', 'vanilla', 'patchouli']",[],"Prime JoyfulbyLELASis a Aromatic Fougere fragrance for men.Prime Joyfulwas launched in 2019. Top notes are Black Currant, Bergamot, Apple and Pineapple; middle notes are Patchouli, Rose, Birch and Moroccan Jasmine; base notes are Vanilla, Oakmoss, Musk and Ambergris.",https://www.fragrantica.com/perfume/LELAS/Prime-Joyful-62070.html
"Coup De Fouet Caronfor women","for women",4.54,26,"['rose', 'floral', 'warm spicy', 'fresh spicy', 'mossy', 'earthy', 'aromatic', 'woody']","['Michel Morsetti']","Coup De FouetbyCaronis a Chypre Floral fragrance for women.Coup De Fouetwas launched in 1954. The nose behind this fragrance is Michel Morsetti.",https://www.fragrantica.com/perfume/Caron/Coup-De-Fouet-31382.html
"Nouveaunille House of Matriarchfor women and men","for women and men",4.33,39,"['woody', 'powdery', 'vanilla', 'sweet', 'warm spicy', 'cacao', 'caramel', 'fresh spicy', 'amber', 'musky']","['Christi Meshell']","NouveaunillebyHouse of Matriarchis a Amber Vanilla fragrance for women and men.Nouveaunillewas launched in 2018. The nose behind this fragrance is Christi Meshell.",https://www.fragrantica.com/perfume/House-of-Matriarch/Nouveaunille-52540.html
"Enigma Pour Homme Roja Dovefor men","for men",4.56,"1,674","['warm spicy', 'vanilla', 'woody', 'amber', 'tobacco', 'sweet', 'fresh spicy', 'citrus', 'white floral', 'balsamic']",[],"Enigma Pour HommebyRoja Doveis a Amber fragrance for men.Enigma Pour Hommewas launched in 2013. Top notes are Black Pepper, Neroli and Bergamot; middle notes are Cognac, Tobacco, Ginger and Jasmine; base notes are Vanilla, Benzoin and Patchouli.",https://www.fragrantica.com/perfume/Roja-Dove/Enigma-Pour-Homme-20559.html
"Adorisse Pure Gold JAFRAfor women","for women",3.5,6,"['fruity', 'citrus', 'floral', 'sweet', 'powdery']",[],"Adorisse Pure GoldbyJAFRAis a Floral Fruity fragrance for women.",https://www.fragrantica.com/perfume/JAFRA/Adorisse-Pure-Gold-44689.html
"Perla Bianca Amerigofor women","for women",4,2,"['floral', 'powdery', 'aldehydic', 'fresh spicy', 'sweet', 'animalic']",[],"Perla BiancabyAmerigois a fragrance for women.",https://www.fragrantica.com/perfume/Amerigo/Perla-Bianca-67292.html
"Queen Plumrose Zarafor women","for women",3.97,73,"['rose', 'floral', 'sand']",[],"Queen PlumrosebyZarais a fragrance for women. This is a new fragrance.Queen Plumrosewas launched in 2023. Top note is Sand; middle note is Rose; base note is Woodsy Notes.",https://www.fragrantica.com/perfume/Zara/Queen-Plumrose-81566.html
"Krizia Pour Homme Kriziafor men","for men",4.31,91,"['woody', 'powdery', 'fresh spicy', 'aromatic', 'iris', 'citrus', 'vanilla', 'warm spicy', 'herbal', 'violet']",[],"Krizia Pour HommebyKriziais a Aromatic Spicy fragrance for men.Krizia Pour Hommewas launched in 2014. Top notes are Black Pepper, Bergamot and Mandarin Orange; middle notes are elemi, Nutmeg, Artemisia, Cinnamon and Sage; base notes are Iris, Cedar, Vanilla, Sandalwood, White Musk and Tonka Bean.",https://www.fragrantica.com/perfume/Krizia/Krizia-Pour-Homme-21969.html
"Blueberry Zarafor women","for women",3.94,88,"['fruity', 'woody', 'sweet', 'powdery', 'violet', 'white floral', 'floral', 'citrus']",[],"BlueberrybyZarais a Floral Fruity fragrance for women. Top notes are Raspberry and Black Currant; middle notes are Violet and Jasmine; base notes are Cedar and Musk.",https://www.fragrantica.com/perfume/Zara/Blueberry-16585.html
"U1ST For Woman Atelier Ulric Fragrancesfor women","for women",,,"['green', 'citrus', 'fresh', 'aquatic', 'aromatic', 'musky', 'white floral', 'woody', 'fresh spicy', 'fruity']",[],"U1ST For WomanbyAtelier Ulric Fragrancesis a Floral Green fragrance for women. Top notes are Watery Notes, Lemon, Mint, Green Apple and Citruses; middle notes are Jasmine and Green Leaves; base notes are Woody Notes and Musk.",https://www.fragrantica.com/perfume/Atelier-Ulric-Fragrances/U1ST-For-Woman-24217.html
"Arbab 77 The Dua Brandfor men","for men",,,"['fresh spicy', 'aromatic', 'warm spicy', 'woody', 'citrus', 'musky', 'earthy', 'green', 'powdery', 'herbal']",[],"Arbab 77byThe Dua Brandis a Woody Chypre fragrance for men.Arbab 77was launched in 2022.",https://www.fragrantica.com/perfume/The-Dua-Brand/Arbab-77-85786.html
"Wild Heart Revlonfor women","for women",3.57,21,['floral'],[],"Wild HeartbyRevlonis a Floral fragrance for women.Wild Heartwas launched in 1992.",https://www.fragrantica.com/perfume/Revlon/Wild-Heart-12485.html
"Polo Modern Reserve Ralph Laurenfor men","for men",4.35,256,"['woody', 'aromatic', 'warm spicy', 'fresh spicy', 'earthy', 'amber', 'green', 'leather', 'white floral', 'patchouli']","['Carlos Benaim']","Polo Modern ReservebyRalph Laurenis a Woody fragrance for men.Polo Modern Reservewas launched in 2008. The nose behind this fragrance is Carlos Benaim. Top notes are Basil, Pimento and Cardamom; middle notes are Vetiver, Myrrh and Jasmine; base notes are Suede, Woodsy Notes and Patchouli.",https://www.fragrantica.com/perfume/Ralph-Lauren/Polo-Modern-Reserve-4782.html
"Royal Amber Oud Mashaerfor men","for men",5,1,"['floral', 'earthy', 'amber', 'white floral', 'rose', 'patchouli', 'musky', 'mossy', 'woody', 'fresh']",[],"Royal Amber OudbyMashaeris a Amber fragrance for men. This is a new fragrance.Royal Amber Oudwas launched in 2023. Top notes are Patchouli and Jasmine; middle notes are Hedione, Amber and Rose; base notes are Oakmoss, Amber and Musk.",https://www.fragrantica.com/perfume/Mashaer/Royal-Amber-Oud-95056.html
"Foxfire Avonfor women","for women",4.31,51,"['green', 'floral', 'rose', 'white floral', 'fresh spicy']",[],"FoxfirebyAvonis a Amber Floral fragrance for women.Foxfirewas launched in 1980.",https://www.fragrantica.com/perfume/Avon/Foxfire-35628.html
"Moremi Thera Cosméticosfor women","for women",4.8,5,"['fruity', 'violet', 'powdery', 'woody', 'floral', 'patchouli', 'cherry', 'soft spicy']","['Mário Torri Neto']","MoremibyThera Cosméticosis a Floral Fruity fragrance for women. This is a new fragrance.Moremiwas launched in 2023. The nose behind this fragrance is Mário Torri Neto. Top notes are Black Currant, Blackberry, Sour Cherry, Strawberry, Raspberry, Lemon and Mandarin Orange; middle notes are Violet and Jasmine; base notes are Patchouli, Cashmeran, Woody Notes, Vanilla, Oakmoss, Amber and Musk.",https://www.fragrantica.com/perfume/Thera-Cosmeticos/Moremi-91725.html
"Dreaming Etermal Scent by Alexisfor women and men","for women and men",5,1,"['white floral', 'oud', 'smoky', 'violet', 'fresh', 'powdery', 'floral']","['Alexis Karl']","Dreaming EtermalbyScent by Alexisis a Floral Woody Musk fragrance for women and men.Dreaming Etermalwas launched in 2016. The nose behind this fragrance is Alexis Karl. Top notes are Violet and Lily-of-the-Valley; middle note is Jasmine Sambac; base notes are Agarwood (Oud) and Smoke.",https://www.fragrantica.com/perfume/Scent-by-Alexis/Dreaming-Etermal-40193.html
"Sensus Avonfor men","for men",4.12,25,"['amber', 'woody', 'warm spicy']",[],"SensusbyAvonis a Chypre fragrance for men.Sensuswas launched in 2020. Top note is Spices; middle note is Woodsy Notes; base note is Amber.",https://www.fragrantica.com/perfume/Avon/Sensus-73630.html
"Guerlain Homme Intense Guerlainfor men","for men",4.41,"1,685","['aromatic', 'green', 'woody', 'fresh spicy', 'rum', 'earthy', 'citrus', 'warm spicy']",[],"Guerlain Homme IntensebyGuerlainis a Woody Aromatic fragrance for men.Guerlain Homme Intensewas launched in 2009. Top notes are Mint, Mojito and Rhuburb; middle notes are Rum, Geranium and Floral Notes; base notes are Vetiver, Virginia Cedar and Patchouli.",https://www.fragrantica.com/perfume/Guerlain/Guerlain-Homme-Intense-6679.html
"Marconi 3 Profumi del Fortefor women and men","for women and men",4.1,101,"['powdery', 'warm spicy', 'vanilla', 'earthy', 'aromatic', 'woody', 'iris', 'patchouli', 'amber', 'sweet']",[],"Marconi 3byProfumi del Forteis a fragrance for women and men.Marconi 3was launched in 2008. Top notes are Coriander, Cinnamon, Coconut and Star Anise; middle notes are Iris, Geranium and Rose; base notes are Patchouli, Tolu Balsam, Vanilla, Oakmoss and Heliotrope.",https://www.fragrantica.com/perfume/Profumi-del-Forte/Marconi-3-6393.html
"Cade & Cedarwood Jo Malone Londonfor women and men","for women and men",4.01,171,"['woody', 'aromatic', 'smoky', 'fresh spicy', 'vanilla', 'powdery']","['Louise Turner', 'Yann Vasnier']","Cade & CedarwoodbyJo Malone Londonis a Woody Aromatic fragrance for women and men.Cade & Cedarwoodwas launched in 2019. Cade & Cedarwood was created by Yann Vasnier and Louise Turner.",https://www.fragrantica.com/perfume/Jo-Malone-London/Cade-Cedarwood-53541.html
