Name,Gender,"Rating Value","Rating Count","Main Accords",Perfumers,Description,url
"Musk Kashmir Attar Collectionfor women and men","for women and men",3.66,"1,706","['musky', 'powdery', 'warm spicy', 'fresh spicy', 'woody', 'white floral', 'animalic']",[],"Musk KashmirbyAttar Collectionis a Floral Woody Musk fragrance for women and men.Musk Kashmirwas launched in 2016.",https://www.fragrantica.com/perfume/Attar-Collection/Musk-Kashmir-38134.html
"Dreamer The Original Edition Versacefor men","for men",4.08,"5,140","['aromatic', 'lavender', 'tobacco', 'sweet', 'fresh spicy', 'woody', 'herbal', 'rose', 'vanilla', 'floral']","['Jean-Pierre Bethouart']","Dreamer The Original EditionbyVersaceis a Amber Fougere fragrance for men.Dreamer The Original Editionwas launched in 1996. The nose behind this fragrance is Jean-Pierre Bethouart. Top notes are Lavender, Sage and Mandarin Orange; middle notes are Tobacco, Rose, Carnation and Geranium; base notes are Tonka Bean, Fir, Vetiver and Cedar.",https://www.fragrantica.com/perfume/Versace/Dreamer-The-Original-Edition-642.html
"Rhum & Tabac Comptoir Sud Pacifiquefor women and men","for women and men",4,367,"['warm spicy', 'tobacco', 'rum', 'cinnamon', 'woody', 'sweet', 'patchouli', 'citrus', 'aromatic']","['Thomas Fontaine']","Rhum & TabacbyComptoir Sud Pacifiqueis a fragrance for women and men.Rhum & Tabacwas launched in 2016. The nose behind this fragrance is Thomas Fontaine. Top note is Lime; middle notes are Rum, Cinnamon and Cardamom; base notes are Tobacco Leaf and Indonesian Patchouli Leaf.",https://www.fragrantica.com/perfume/Comptoir-Sud-Pacifique/Rhum-Tabac-37438.html
"Private Show Britney Spearsfor women","for women",4.07,"1,931","['sweet', 'lactonic', 'coffee', 'vanilla']","['Caroline Sabas']","Private ShowbyBritney Spearsis a Floral Fruity Gourmand fragrance for women.Private Showwas launched in 2016. The nose behind this fragrance is Caroline Sabas. Top notes are Whipped Cream, Coffee, Nectarine and Clementine; middle notes are Dulce de leche, Jasmine Sambac and Orange Blossom; base notes are Amber and Musk.",https://www.fragrantica.com/perfume/Britney-Spears/Private-Show-39382.html
"Surreal Ocean Avonfor women","for women",3.95,207,"['fruity', 'marine', 'citrus', 'white floral', 'woody', 'sweet', 'amber', 'fresh', 'lactonic', 'animalic']","['Honorine Blanc']","Surreal OceanbyAvonis a Floral Fruity fragrance for women.Surreal Oceanwas launched in 2014. The nose behind this fragrance is Honorine Blanc. Top notes are Coral Reef, Mandarin Orange and Soursop; middle notes are Red Apple, Gardenia and Water Lily; base notes are Cedar, Amber and Pearls.",https://www.fragrantica.com/perfume/Avon/Surreal-Ocean-33912.html
"Oro Nero Bois 1920for women and men","for women and men",4.06,114,"['warm spicy', 'woody', 'leather', 'citrus', 'vanilla', 'powdery', 'animalic', 'patchouli', 'amber', 'sweet']",[],"Oro NerobyBois 1920is a Amber Woody fragrance for women and men.Oro Nerowas launched in 2017. Top notes are Saffron, Cloves, Orange and Bergamot; middle notes are Patchouli, Sandalwood, Cedar and Ylang-Ylang; base notes are Leather, Vanilla and Amber.",https://www.fragrantica.com/perfume/Bois-1920/Oro-Nero-44297.html
"Rose Supercritique Les EAUX Primordialesfor women and men","for women and men",3.92,119,"['rose', 'vanilla', 'sweet', 'powdery', 'violet', 'aromatic', 'citrus', 'floral', 'soft spicy', 'green']","['Arnaud Poulain']","Rose SupercritiquebyLes EAUX Primordialesis a Floral fragrance for women and men.Rose Supercritiquewas launched in 2018. The nose behind this fragrance is Arnaud Poulain. Top notes are Pink Pepper and Lemon; middle notes are Rose, Green Notes, Raspberry and Geranium; base notes are Vanilla, Violet and Coumarin.",https://www.fragrantica.com/perfume/Les-EAUX-Primordiales/Rose-Supercritique-49556.html
"Qaa'ed Intense Lattafa Perfumesfor men","for men",4.49,154,"['amber', 'vanilla', 'sweet', 'warm spicy', 'cacao', 'tobacco', 'honey', 'powdery', 'balsamic', 'cinnamon']",[],"Qaa'ed IntensebyLattafa Perfumesis a Amber Spicy fragrance for men. This is a new fragrance.Qaa'ed Intensewas launched in 2024. Top notes are Tobacco, White Honey and Cinammon; middle notes are Vanilla, Cacao, Patchouli and Myrrh; base notes are Amber, Styrax and French labdanum.",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qaa-ed-Intense-90438.html
"Ambre Gris Alyssa Ashleyfor women","for women",3.93,177,"['amber', 'woody', 'rose', 'powdery', 'vanilla', 'soft spicy', 'musky', 'citrus', 'balsamic']","['Luca Maffei']","Ambre GrisbyAlyssa Ashleyis a Amber Floral fragrance for women.Ambre Griswas launched in 2012. The nose behind this fragrance is Luca Maffei. Top notes are Pink Pepper, Calabrian bergamot and Sicilian Lemon; middle notes are Bulgarian Rose and Indian Jasmine; base notes are Amber, Labdanum, Sandalwood and Madagascar Vanilla.",https://www.fragrantica.com/perfume/Alyssa-Ashley/Ambre-Gris-15691.html
"Oud Gadir Darkbeat Parfumsfor women and men","for women and men",4.21,14,"['amber', 'sweet', 'oud', 'fruity', 'woody', 'tobacco', 'vanilla', 'powdery', 'citrus', 'balsamic']","['José M. Giraldo']","Oud GadirbyDarkbeat Parfumsis a fragrance for women and men.Oud Gadirwas launched in 2021. The nose behind this fragrance is José M. Giraldo. Top notes are Raspberry and Mandarin Orange; middle notes are Tobacco and Jasmine; base notes are Labdanum, Agarwood (Oud), Amber, Vanilla and Sandalwood.",https://www.fragrantica.com/perfume/Darkbeat-Parfums/Oud-Gadir-64971.html
